model,params,score
logistic_regression,"('l1', 'saga', 0.001)",0.380952381
logistic_regression,"('l1', 'saga', 0.001623776739188721)",0.380952381
logistic_regression,"('l1', 'saga', 0.0026366508987303583)",0.380952381
logistic_regression,"('l1', 'saga', 0.004281332398719396)",0.380952381
logistic_regression,"('l1', 'saga', 0.0069519279617756054)",0.428571429
logistic_regression,"('l1', 'saga', 0.011288378916846888)",0.428571429
logistic_regression,"('l1', 'saga', 0.018329807108324356)",0.428571429
logistic_regression,"('l1', 'saga', 0.029763514416313176)",0.428571429
logistic_regression,"('l1', 'saga', 0.04832930238571752)",0.428571429
logistic_regression,"('l1', 'saga', 0.07847599703514611)",0.523809524
logistic_regression,"('l1', 'saga', 0.12742749857031335)",0.523809524
logistic_regression,"('l1', 'saga', 0.20691380811147903)",0.523809524
logistic_regression,"('l1', 'saga', 0.3359818286283781)",0.523809524
logistic_regression,"('l1', 'saga', 0.5455594781168515)",0.523809524
logistic_regression,"('l1', 'saga', 0.8858667904100823)",0.523809524
logistic_regression,"('l1', 'saga', 1.438449888287663)",0.523809524
logistic_regression,"('l1', 'saga', 2.3357214690901213)",0.523809524
logistic_regression,"('l1', 'saga', 3.792690190732246)",0.523809524
logistic_regression,"('l1', 'saga', 6.158482110660261)",0.523809524
logistic_regression,"('l1', 'saga', 10.0)",0.523809524
logistic_regression,"('l1', 'liblinear', 0.001)",0.380952381
logistic_regression,"('l1', 'liblinear', 0.001623776739188721)",0.380952381
logistic_regression,"('l1', 'liblinear', 0.0026366508987303583)",0.380952381
logistic_regression,"('l1', 'liblinear', 0.004281332398719396)",0.380952381
logistic_regression,"('l1', 'liblinear', 0.0069519279617756054)",0.380952381
logistic_regression,"('l1', 'liblinear', 0.011288378916846888)",0.380952381
logistic_regression,"('l1', 'liblinear', 0.018329807108324356)",0.380952381
logistic_regression,"('l1', 'liblinear', 0.029763514416313176)",0.380952381
logistic_regression,"('l1', 'liblinear', 0.04832930238571752)",0.380952381
logistic_regression,"('l1', 'liblinear', 0.07847599703514611)",0.523809524
logistic_regression,"('l1', 'liblinear', 0.12742749857031335)",0.523809524
logistic_regression,"('l1', 'liblinear', 0.20691380811147903)",0.523809524
logistic_regression,"('l1', 'liblinear', 0.3359818286283781)",0.523809524
logistic_regression,"('l1', 'liblinear', 0.5455594781168515)",0.523809524
logistic_regression,"('l1', 'liblinear', 0.8858667904100823)",0.523809524
logistic_regression,"('l1', 'liblinear', 1.438449888287663)",0.571428571
logistic_regression,"('l1', 'liblinear', 2.3357214690901213)",0.571428571
logistic_regression,"('l1', 'liblinear', 3.792690190732246)",0.571428571
logistic_regression,"('l1', 'liblinear', 6.158482110660261)",0.571428571
logistic_regression,"('l1', 'liblinear', 10.0)",0.571428571
logistic_regression,"('l2', 'saga', 0.001)",0.523809524
logistic_regression,"('l2', 'saga', 0.001623776739188721)",0.523809524
logistic_regression,"('l2', 'saga', 0.0026366508987303583)",0.523809524
logistic_regression,"('l2', 'saga', 0.004281332398719396)",0.523809524
logistic_regression,"('l2', 'saga', 0.0069519279617756054)",0.523809524
logistic_regression,"('l2', 'saga', 0.011288378916846888)",0.523809524
logistic_regression,"('l2', 'saga', 0.018329807108324356)",0.523809524
logistic_regression,"('l2', 'saga', 0.029763514416313176)",0.523809524
logistic_regression,"('l2', 'saga', 0.04832930238571752)",0.523809524
logistic_regression,"('l2', 'saga', 0.07847599703514611)",0.523809524
logistic_regression,"('l2', 'saga', 0.12742749857031335)",0.523809524
logistic_regression,"('l2', 'saga', 0.20691380811147903)",0.523809524
logistic_regression,"('l2', 'saga', 0.3359818286283781)",0.476190476
logistic_regression,"('l2', 'saga', 0.5455594781168515)",0.523809524
logistic_regression,"('l2', 'saga', 0.8858667904100823)",0.523809524
logistic_regression,"('l2', 'saga', 1.438449888287663)",0.523809524
logistic_regression,"('l2', 'saga', 2.3357214690901213)",0.523809524
logistic_regression,"('l2', 'saga', 3.792690190732246)",0.523809524
logistic_regression,"('l2', 'saga', 6.158482110660261)",0.523809524
logistic_regression,"('l2', 'saga', 10.0)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.001)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.001623776739188721)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.0026366508987303583)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.004281332398719396)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.0069519279617756054)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.011288378916846888)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.018329807108324356)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.029763514416313176)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.04832930238571752)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.07847599703514611)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.12742749857031335)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.20691380811147903)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.3359818286283781)",0.523809524
logistic_regression,"('l2', 'liblinear', 0.5455594781168515)",0.476190476
logistic_regression,"('l2', 'liblinear', 0.8858667904100823)",0.476190476
logistic_regression,"('l2', 'liblinear', 1.438449888287663)",0.523809524
